Dept,n,n_markdown,baseline_mean_sales,slope_dSales_dIntensity,marginal_ROI,pvalue,민감도그룹
47,646,224,-21.4,-0.4933,0.023106,0.0538,통계적 비유의
85,6055,2150,2317.0,48.8585,0.021087,0.0,고민감(할인효과 큼)
36,5295,1887,2038.5,39.9506,0.019598,0.0,고민감(할인효과 큼)
30,5291,1887,4283.0,72.3586,0.016894,0.0,고민감(할인효과 큼)
56,5872,2157,3899.9,61.5443,0.015781,0.0,고민감(할인효과 큼)
37,2577,919,3132.3,49.1593,0.015694,0.0,고민감(할인효과 큼)
16,6435,2295,14746.7,197.1168,0.013367,0.0,고민감(할인효과 큼)
21,6435,2295,5075.1,45.6766,0.009,0.0,중민감(할인효과 보통)
58,4390,1538,3675.8,29.4648,0.008016,0.0002,중민감(할인효과 보통)
6,5986,2096,5127.7,29.5287,0.005759,0.0,중민감(할인효과 보통)
31,6067,2188,2388.3,11.7338,0.004913,0.0,중민감(할인효과 보통)
65,143,51,46288.5,223.0036,0.004818,0.0017,중민감(할인효과 보통)
3,6435,2295,11699.1,44.9919,0.003846,0.0004,중민감(할인효과 보통)
34,5326,1890,15590.6,48.0886,0.003084,0.0,중민감(할인효과 보통)
9,6354,2279,19901.0,59.0821,0.002969,0.0,중민감(할인효과 보통)
25,6354,2239,9025.5,23.5145,0.002605,0.0,중민감(할인효과 보통)
50,1562,563,2646.3,6.8262,0.00258,0.442,통계적 비유의
20,6032,2189,5553.2,13.5048,0.002432,0.0017,중민감(할인효과 보통)
35,5297,1888,2935.3,7.0407,0.002399,0.16,통계적 비유의
12,6409,2295,4221.0,9.8053,0.002323,0.0808,통계적 비유의
17,6412,2274,10226.3,22.7547,0.002225,0.0,중민감(할인효과 보통)
11,6434,2295,14486.5,32.0207,0.00221,0.0,중민감(할인효과 보통)
67,6435,2295,7326.0,14.5194,0.001982,0.0159,중민감(할인효과 보통)
42,6401,2287,5097.5,10.0426,0.00197,0.0514,통계적 비유의
97,6278,2244,14182.3,27.7349,0.001956,0.0,중민감(할인효과 보통)
81,6435,2295,15397.8,26.4072,0.001715,0.0,중민감(할인효과 보통)
29,5308,1893,5572.2,7.8853,0.001415,0.0033,중민감(할인효과 보통)
71,5309,1897,5717.5,8.0466,0.001407,0.0744,통계적 비유의
13,6435,2295,30774.7,42.8047,0.001391,0.0,중민감(할인효과 보통)
1,6435,2295,19060.0,25.6058,0.001343,0.0478,중민감(할인효과 보통)
10,6435,2295,18163.3,18.1752,0.001001,0.0021,중민감(할인효과 보통)
24,5406,1947,6311.6,5.1619,0.000818,0.0011,중민감(할인효과 보통)
95,6435,2295,69564.8,55.5945,0.000799,0.0,중민감(할인효과 보통)
79,6435,2295,21955.8,8.1517,0.000371,0.1366,통계적 비유의
26,5739,2062,7717.4,2.6297,0.000341,0.0053,중민감(할인효과 보통)
94,5685,2129,33429.2,10.5213,0.000315,0.0067,중민감(할인효과 보통)
8,6435,2295,29959.0,8.3589,0.000279,0.0549,통계적 비유의
74,6430,2295,13839.7,3.4442,0.000249,0.4933,통계적 비유의
33,5390,1935,6469.6,1.5398,0.000238,0.0484,중민감(할인효과 보통)
52,6268,2232,1943.5,0.4557,0.000234,0.5733,통계적 비유의
32,5956,2153,6782.4,0.8056,0.000119,0.2003,통계적 비유의
44,5471,1963,4540.1,0.0969,2.1e-05,0.7693,통계적 비유의
80,5891,2157,12134.0,-0.4579,-3.8e-05,0.0855,통계적 비유의
2,6435,2295,43220.2,-2.2546,-5.2e-05,0.7234,통계적 비유의
46,6435,2295,19571.9,-1.2019,-6.1e-05,0.8124,통계적 비유의
23,5774,2135,23478.3,-2.596,-0.000111,0.2439,통계적 비유의
98,5836,2164,6823.2,-0.8607,-0.000126,0.0634,통계적 비유의
49,4482,1967,8136.7,-1.0397,-0.000128,0.0,저민감(거의 무효과)
91,6435,2295,33460.6,-4.5489,-0.000136,0.6231,통계적 비유의
96,4854,1839,14792.2,-2.4498,-0.000166,0.365,통계적 비유의
83,5908,2143,3403.6,-0.5778,-0.00017,0.7228,통계적 비유의
27,5619,2063,1528.0,-0.263,-0.000172,0.7317,통계적 비유의
22,5543,2085,10637.0,-2.7569,-0.000259,0.0905,통계적 비유의
19,4119,1493,1656.6,-0.5657,-0.000341,0.05,저민감(거의 무효과)
41,5393,1923,1936.2,-0.7685,-0.000397,0.1301,통계적 비유의
4,6435,2295,25685.7,-15.5034,-0.000604,0.0001,저민감(거의 무효과)
55,5596,1975,10902.2,-7.8776,-0.000723,0.0319,저민감(거의 무효과)
40,6435,2295,44365.4,-39.1646,-0.000883,0.0,저민감(거의 무효과)
38,6435,2295,60428.3,-70.5298,-0.001167,0.0,저민감(거의 무효과)
48,1742,734,1040.8,-1.2688,-0.001219,0.1195,통계적 비유의
99,862,637,146.5,-0.2015,-0.001375,0.5958,통계적 비유의
93,5913,2142,26439.9,-45.8122,-0.001733,0.0,저민감(거의 무효과)
90,6435,2295,44226.1,-116.7932,-0.002641,0.0,저민감(거의 무효과)
82,6435,2295,14649.7,-50.3886,-0.00344,0.0,저민감(거의 무효과)
14,6435,2295,14533.6,-53.209,-0.003661,0.0,저민감(거의 무효과)
7,6435,2295,23274.7,-88.4284,-0.003799,0.0052,저민감(거의 무효과)
92,6435,2295,72675.8,-306.337,-0.004215,0.0,저민감(거의 무효과)
5,6347,2295,21444.2,-98.1436,-0.004577,0.0004,저민감(거의 무효과)
72,6046,2165,50154.2,-288.0491,-0.005743,0.0035,저민감(거의 무효과)
60,5772,2286,340.3,-2.4235,-0.007123,0.0,저민감(거의 무효과)
59,6106,2056,790.3,-6.0594,-0.007667,0.0041,저민감(거의 무효과)
87,6391,2292,12437.4,-116.0071,-0.009327,0.0,저민감(거의 무효과)
77,150,142,267.1,-3.1542,-0.011808,0.0125,역효과(할인 시 매출↓)
18,5029,1886,6835.8,-104.4521,-0.01528,0.0,역효과(할인 시 매출↓)
28,6124,2172,634.6,-9.9541,-0.015685,0.0,역효과(할인 시 매출↓)
54,4767,1538,139.9,-2.3784,-0.016995,0.0,역효과(할인 시 매출↓)
45,1936,445,22.9,-0.7801,-0.034055,0.0,역효과(할인 시 매출↓)
51,1394,93,23.2,-1.0592,-0.045637,0.0002,역효과(할인 시 매출↓)
78,235,52,8.3,-0.8219,-0.098965,0.007,역효과(할인 시 매출↓)
